Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Shipping Billing Same
42.32,PayPal,electronics,1,40,desktop,0,282,23,1
301.34,credit card,electronics,3,35,tablet,0,223,0,1
340.32,debit card,toys & games,5,29,desktop,0,360,8,0
95.77,credit card,electronics,5,45,mobile,0,325,20,1
77.45,credit card,clothing,5,42,desktop,0,116,15,1
345.27,PayPal,toys & games,1,9,desktop,0,251,13,1
53.69,debit card,toys & games,3,41,mobile,0,138,13,1
680.17,debit card,electronics,5,39,tablet,0,36,23,1
126.5,debit card,home & garden,4,35,mobile,0,188,4,1
47.18,bank transfer,toys & games,4,19,mobile,0,245,22,1
137.74,PayPal,health & beauty,2,24,mobile,0,256,12,1
141.09,PayPal,health & beauty,1,53,mobile,0,205,0,1
95.13,credit card,electronics,4,51,mobile,0,95,19,0
260.69,debit card,electronics,5,15,tablet,0,158,2,0
70.66,debit card,home & garden,3,42,tablet,0,209,16,1
36.12,PayPal,toys & games,2,39,tablet,0,301,14,1
57.91,debit card,home & garden,3,33,mobile,0,352,17,1
10.14,credit card,home & garden,1,24,mobile,0,347,5,1
261.52,credit card,toys & games,1,37,mobile,0,72,11,1
258.23,PayPal,toys & games,4,41,tablet,0,44,22,1
438.16,credit card,electronics,1,34,tablet,0,118,12,1
206.21,debit card,electronics,1,37,desktop,0,60,19,1
520.27,PayPal,toys & games,2,18,mobile,0,213,2,1
412.96,credit card,home & garden,2,33,desktop,0,211,17,1
183.6,bank transfer,electronics,3,27,tablet,0,360,21,1
112.26,debit card,home & garden,4,48,desktop,0,271,3,1
23.67,bank transfer,electronics,5,35,desktop,0,58,6,1
148.94,PayPal,clothing,3,45,mobile,0,297,0,1
369.54,debit card,toys & games,5,22,tablet,0,336,13,1
530.41,debit card,clothing,5,40,mobile,0,341,7,1
149.24,PayPal,home & garden,2,25,tablet,0,103,20,1
630.67,debit card,home & garden,1,37,mobile,0,26,9,1
277.73,PayPal,clothing,2,14,tablet,0,170,2,1
428.88,credit card,home & garden,3,28,tablet,0,47,16,1
77.27,PayPal,clothing,4,45,tablet,0,61,4,1
13.91,debit card,home & garden,2,44,desktop,0,326,3,1
222.0,bank transfer,home & garden,1,51,tablet,1,194,4,1
69.19,PayPal,toys & games,2,32,tablet,0,282,16,1
395.73,credit card,clothing,1,44,desktop,0,69,6,1
182.1,PayPal,home & garden,3,46,mobile,0,70,3,1
194.5,credit card,clothing,2,28,tablet,0,173,14,0
664.16,PayPal,home & garden,5,33,mobile,0,108,16,1
52.34,PayPal,electronics,1,34,desktop,0,224,15,1
717.55,PayPal,clothing,1,17,tablet,0,280,20,1
23.01,bank transfer,toys & games,4,37,tablet,0,326,18,1
32.75,PayPal,toys & games,5,60,desktop,0,214,11,1
276.34,credit card,home & garden,4,33,desktop,0,234,18,1
231.5,PayPal,home & garden,5,22,mobile,0,221,20,0
149.6,bank transfer,clothing,5,23,tablet,0,85,23,1
54.74,credit card,health & beauty,2,37,tablet,0,126,13,1
15.7,credit card,health & beauty,4,30,mobile,0,261,22,1
438.35,PayPal,home & garden,1,26,mobile,0,358,2,1
14.63,credit card,toys & games,2,35,mobile,0,249,21,1
327.33,bank transfer,home & garden,4,37,tablet,0,259,0,1
28.34,credit card,toys & games,1,44,mobile,0,71,18,1
543.58,bank transfer,electronics,5,31,tablet,0,191,15,0
132.65,debit card,toys & games,1,26,desktop,0,305,8,1
83.62,debit card,home & garden,1,30,mobile,0,204,15,1
18.89,debit card,toys & games,1,31,tablet,0,136,10,1
387.23,debit card,electronics,1,48,desktop,0,233,18,1
591.77,debit card,health & beauty,4,27,desktop,0,126,17,1
13.56,PayPal,health & beauty,4,20,tablet,0,165,11,1
47.9,PayPal,home & garden,1,43,desktop,0,85,3,1
249.49,credit card,electronics,3,38,mobile,0,285,14,1
276.29,credit card,home & garden,3,32,desktop,0,140,4,1
679.85,credit card,electronics,5,24,tablet,0,179,21,1
416.46,credit card,clothing,1,41,mobile,0,234,22,1
126.99,bank transfer,clothing,1,34,mobile,0,175,21,0
58.34,PayPal,electronics,2,47,mobile,0,224,11,1
40.56,debit card,electronics,2,32,tablet,0,232,4,1
50.27,bank transfer,health & beauty,3,39,tablet,0,44,1,1
98.96,PayPal,electronics,2,47,tablet,0,195,20,1
85.46,debit card,toys & games,3,17,mobile,0,65,2,1
270.37,bank transfer,health & beauty,2,25,tablet,0,345,7,1
39.58,debit card,electronics,4,41,desktop,0,151,3,1
86.6,bank transfer,home & garden,5,20,desktop,0,47,5,1
153.8,debit card,home & garden,2,31,mobile,0,124,12,1
25.72,credit card,clothing,5,40,desktop,0,228,6,1
12.95,credit card,health & beauty,3,32,desktop,0,196,9,1
633.19,bank transfer,electronics,3,20,desktop,0,197,2,1
669.81,bank transfer,electronics,4,36,tablet,0,179,1,0
93.52,credit card,electronics,1,31,desktop,0,328,12,1
218.66,credit card,toys & games,3,45,desktop,0,96,18,1
664.32,debit card,clothing,3,26,desktop,0,336,10,1
120.59,credit card,health & beauty,1,44,mobile,0,68,0,1
224.9,bank transfer,health & beauty,2,36,desktop,0,199,13,1
159.0,debit card,home & garden,3,28,desktop,0,148,22,1
672.55,bank transfer,health & beauty,3,43,desktop,0,340,2,1
511.49,PayPal,clothing,4,46,desktop,0,52,4,0
11.97,bank transfer,health & beauty,5,43,mobile,0,280,6,1
241.73,credit card,health & beauty,4,45,tablet,0,4,18,1
45.76,PayPal,health & beauty,3,43,mobile,0,92,2,1
86.88,PayPal,home & garden,1,31,desktop,0,298,16,1
25.33,PayPal,toys & games,2,25,mobile,0,297,13,0
183.64,credit card,clothing,2,41,tablet,0,79,11,1
38.71,credit card,health & beauty,1,44,mobile,0,229,18,1
95.39,PayPal,clothing,4,37,desktop,0,315,21,1
15.33,bank transfer,home & garden,5,17,desktop,0,14,1,1
196.86,PayPal,home & garden,5,50,tablet,0,94,13,1
227.67,PayPal,health & beauty,3,45,desktop,0,31,5,0
387.35,PayPal,home & garden,3,41,mobile,0,30,9,1
236.13,PayPal,toys & games,5,15,tablet,0,255,7,1
189.69,PayPal,home & garden,2,28,desktop,0,304,16,1
201.11,PayPal,home & garden,4,37,desktop,0,34,6,1
34.73,credit card,toys & games,1,29,desktop,0,100,15,1
241.31,debit card,clothing,1,47,desktop,0,3,12,1
41.63,credit card,home & garden,2,44,desktop,0,238,9,1
106.34,debit card,electronics,2,24,mobile,0,38,16,1
260.59,credit card,clothing,1,42,desktop,0,306,2,1
118.37,credit card,clothing,4,31,mobile,0,58,7,1
29.81,credit card,clothing,1,23,tablet,0,261,13,1
133.73,bank transfer,home & garden,3,41,tablet,0,126,6,1
406.36,credit card,toys & games,4,36,mobile,0,20,7,1
369.52,credit card,home & garden,4,49,mobile,0,307,16,1
319.71,bank transfer,home & garden,1,42,mobile,0,91,9,1
307.37,bank transfer,home & garden,2,32,desktop,1,166,19,1
62.27,PayPal,health & beauty,1,25,mobile,0,159,3,1
150.43,credit card,home & garden,4,39,desktop,0,43,17,1
30.32,bank transfer,toys & games,2,45,mobile,0,339,8,1
85.85,PayPal,electronics,1,47,tablet,0,356,3,1
139.6,debit card,electronics,5,45,mobile,0,300,6,1
148.16,PayPal,health & beauty,5,25,tablet,0,99,15,1
725.62,bank transfer,clothing,1,29,tablet,0,152,12,1
348.88,bank transfer,home & garden,3,39,mobile,0,143,14,1
213.2,debit card,health & beauty,2,27,mobile,0,218,17,1
190.99,debit card,health & beauty,2,34,tablet,0,136,5,1
472.03,PayPal,toys & games,2,23,desktop,0,73,3,1
41.27,debit card,home & garden,4,40,desktop,0,204,17,1
144.69,debit card,home & garden,2,38,mobile,0,34,11,1
214.82,debit card,clothing,4,38,mobile,0,365,0,1
23.73,bank transfer,clothing,5,42,tablet,0,192,22,1
186.01,PayPal,health & beauty,1,39,desktop,0,273,8,1
46.47,PayPal,clothing,4,34,desktop,0,222,0,1
36.8,PayPal,health & beauty,1,49,tablet,0,271,6,1
92.87,credit card,clothing,2,16,tablet,0,223,11,1
42.42,PayPal,health & beauty,2,20,tablet,0,151,20,1
27.84,debit card,home & garden,2,61,tablet,0,94,17,1
101.76,credit card,electronics,4,26,mobile,0,297,0,1
181.74,debit card,electronics,1,38,mobile,0,311,19,1
60.8,PayPal,health & beauty,4,47,tablet,0,350,2,1
206.49,PayPal,clothing,2,39,tablet,0,61,14,1
21.81,PayPal,clothing,4,20,desktop,0,54,10,1
76.52,debit card,clothing,1,39,mobile,0,336,9,1
77.5,PayPal,toys & games,1,31,tablet,0,172,0,1
518.6,credit card,home & garden,3,39,mobile,0,162,21,1
45.7,credit card,toys & games,5,44,desktop,0,64,3,0
121.61,bank transfer,clothing,1,46,mobile,0,218,21,1
168.05,PayPal,clothing,2,22,desktop,0,180,12,1
437.31,debit card,toys & games,3,50,mobile,0,177,0,1
280.08,bank transfer,toys & games,4,33,mobile,0,107,14,0
190.88,bank transfer,toys & games,2,46,desktop,0,288,6,1
40.04,credit card,health & beauty,4,29,tablet,0,322,11,0
1134.98,PayPal,electronics,5,40,desktop,0,160,19,1
